operation_key,method,path,category,service,source,sensitive,status,owner,team,related_tables,locations
"DELETE /api/hosts/{name}",DELETE,/api/hosts/{name},infra,scripts/misc,flask,no,active,ssh_agent,infra,"","scripts/misc/ssh_agent.py:314"
"GET /api/hosts",GET,/api/hosts,infra,scripts/misc,flask,no,active,ssh_agent,infra,"","scripts/misc/ssh_agent.py:305"
"GET /api/info/{name}",GET,/api/info/{name},infra,scripts/misc,flask,no,active,ssh_agent,infra,"","scripts/misc/ssh_agent.py:338"
"GET /api/quick/{action}",GET,/api/quick/{action},infra,scripts/misc,flask,no,active,scripts,unassigned,"","scripts/misc/github_agent_server.py:508"
"GET /api/test/{name}",GET,/api/test/{name},infra,scripts/misc,flask,no,active,ssh_agent,infra,"","scripts/misc/ssh_agent.py:334"
"POST /api/connect/{name}",POST,/api/connect/{name},infra,scripts/misc,flask,no,active,ssh_agent,infra,"","scripts/misc/ssh_agent.py:318"
"POST /api/disconnect/{name}",POST,/api/disconnect/{name},infra,scripts/misc,flask,no,active,ssh_agent,infra,"","scripts/misc/ssh_agent.py:322"
"POST /api/hosts",POST,/api/hosts,infra,scripts/misc,flask,no,active,ssh_agent,infra,"","scripts/misc/ssh_agent.py:309"
"DELETE /secrets/local/{name}",DELETE,/secrets/local/{name},secrets,tools/secrets_agent,fastapi,yes,active,secrets_agent,security,"","tools/secrets_agent/secrets_agent.py:680"
"GET /audit/recent",GET,/audit/recent,secrets,tools/secrets_agent,fastapi,yes,active,secrets_agent,security,"","tools/secrets_agent/secrets_agent.py:761"
"GET /secrets",GET,/secrets,secrets,tools/secrets_agent,fastapi,yes,active,secrets_agent,security,"","tools/secrets_agent/secrets_agent.py:605"
"GET /secrets/local/{name}",GET,/secrets/local/{name},secrets,tools/secrets_agent,fastapi,yes,active,secrets_agent,security,"","tools/secrets_agent/secrets_agent.py:657"
"GET /secrets/{item_id}",GET,/secrets/{item_id},secrets,tools/secrets_agent,fastapi,yes,active,secrets_agent,security,"","tools/secrets_agent/secrets_agent.py:702"
"POST /bw/unlock",POST,/bw/unlock,secrets,tools/secrets_agent,fastapi,yes,active,secrets_agent,security,"","tools/secrets_agent/secrets_agent.py:586"
"POST /secrets",POST,/secrets,secrets,tools/secrets_agent,fastapi,yes,active,secrets_agent,security,"","tools/secrets_agent/secrets_agent.py:620"
"DELETE /sessions/{session_id}",DELETE,/sessions/{session_id},auth,site/code_runner_manager,fastapi,yes,active,code_runner,platform,"","site/code_runner_manager.py:402"
"GET /callback",GET,/callback,auth,scripts/misc,flask,yes,active,scripts,unassigned,"","scripts/misc/github_agent_server.py:391"
"GET /login/github",GET,/login/github,auth,scripts/misc,flask,yes,active,scripts,unassigned,"","scripts/misc/github_agent_server.py:371"
"GET /logout",GET,/logout,auth,scripts/misc,flask,yes,active,scripts,unassigned,"","scripts/misc/github_agent_server.py:458"
"GET /sessions",GET,/sessions,auth,site/code_runner_manager,fastapi,yes,active,code_runner,platform,"","site/code_runner_manager.py:378"
"POST /api/v1/auths/signin",POST,/api/v1/auths/signin,auth,docs,openapi,yes,active,docs,unassigned,"","docs/openapi.yaml:11;docs/openapi.generated.yaml:11"
"POST /login/token",POST,/login/token,auth,scripts/misc,flask,yes,active,scripts,unassigned,"","scripts/misc/github_agent_server.py:435"
"POST /session/test-login",POST,/session/test-login,auth,specialized_agents/conube_agent,fastapi,yes,active,conube,ops,"","specialized_agents/conube_agent.py:713"
"POST /storage/portal/tokens",POST,/storage/portal/tokens,auth,storage_portal_api,fastapi,yes,active,storage_portal,storage,"public.api_tokens;public.portal_users;public.contracts","storage_portal_api.py:1452"
"DELETE /tweets/{tweet_id}",DELETE,/tweets/{tweet_id},social,tools/x_agent,fastapi,no,active,x_agent,social,"","tools/x_agent/x_agent.py:706"
"DELETE /tweets/{tweet_id}/like",DELETE,/tweets/{tweet_id}/like,social,tools/x_agent,fastapi,no,active,x_agent,social,"","tools/x_agent/x_agent.py:776"
