fqn,schema,table,category,source,columns,sensitive,status,owner,team,related_apis,primary_key,locations
btc.ai_plans,btc,ai_plans,trading,python-ddl,9,no,unused,btc_trading_agent,trading,"","id","btc_trading_agent/training_db.py:79;scripts/migrate_trading_profile_schema.py:16"
btc.ai_trade_controls,btc,ai_trade_controls,trading,python-ddl,18,no,unused,btc_trading_agent,trading,"","id","btc_trading_agent/training_db.py:100"
btc.ai_trade_windows,btc,ai_trade_windows,trading,python-ddl,19,no,unused,btc_trading_agent,trading,"","id","btc_trading_agent/training_db.py:121"
btc.candles,btc,candles,trading,python-ddl,9,no,active,btc_trading_agent,trading,"","id","btc_trading_agent/training_db.py:308;scripts/candle_collector.py:48;tools/restore_trading_history.py:156"
btc.conversion_legs,btc,conversion_legs,trading,python-ddl,11,no,unused,btc_trading_agent,trading,"","id","btc_trading_agent/training_db.py:391"
btc.conversion_lock,btc,conversion_lock,trading,python-ddl,3,no,unused,btc_trading_agent,trading,"","id","btc_trading_agent/training_db.py:406"
btc.conversion_requests,btc,conversion_requests,trading,python-ddl,13,no,unused,btc_trading_agent,trading,"","id","btc_trading_agent/training_db.py:374"
btc.decisions,btc,decisions,trading,python-ddl,10,no,active,btc_trading_agent,trading,"","id","btc_trading_agent/training_db.py:244"
btc.decisions_track_record_hourly,btc,decisions_track_record_hourly,trading,python-ddl,8,no,unused,btc_trading_agent,trading,"","symbol;profile;servidor;bucket_hour","scripts/decisions_track_record_rollup.py:40"
btc.exchange_account_ledgers,btc,exchange_account_ledgers,trading,python-ddl,12,no,unused,btc_trading_agent,trading,"","ledger_id","scripts/kucoin_postgres_sync.py:98"
btc.exchange_balance_snapshots,btc,exchange_balance_snapshots,trading,python-ddl,9,no,unused,btc_trading_agent,trading,"","id","scripts/kucoin_postgres_sync.py:72"
btc.exchange_sync_state,btc,exchange_sync_state,trading,python-ddl,5,no,unused,btc_trading_agent,trading,"","sync_key","scripts/kucoin_postgres_sync.py:89"
btc.learning_rewards,btc,learning_rewards,trading,python-ddl,8,no,unused,btc_trading_agent,trading,"","id","btc_trading_agent/training_db.py:278"
btc.learning_rewards_retro,btc,learning_rewards_retro,trading,python-ddl,10,no,active,btc_trading_agent,trading,"","id","btc_trading_agent/backfill_retro_rewards.py:146;scripts/training/backfill_retro_rewards.py:121"
btc.llm_calls,btc,llm_calls,trading,python-ddl,15,no,active,btc_trading_agent,trading,"","id","btc_trading_agent/training_db.py:327"
btc.llm_log_config,btc,llm_log_config,trading,python-ddl,10,no,active,btc_trading_agent,trading,"","id","btc_trading_agent/training_db.py:349"
btc.market_states,btc,market_states,trading,python-ddl,14,no,unused,btc_trading_agent,trading,"","id","btc_trading_agent/training_db.py:259"
btc.performance_stats,btc,performance_stats,trading,python-ddl,12,no,active,btc_trading_agent,trading,"","id","btc_trading_agent/training_db.py:291"
btc.profile_allocations,btc,profile_allocations,trading,python-ddl,6,no,unused,btc_trading_agent,trading,"","id","btc_trading_agent/training_db.py:91;scripts/migrate_trading_profile_schema.py:28"
btc.trades,btc,trades,trading,python-ddl,14,no,active,btc_trading_agent,trading,"","id","btc_trading_agent/training_db.py:225;tools/restore_trading_history.py:138"
clear.ai_trade_controls,clear,ai_trade_controls,trading,sql,11,no,unused,clear_trading_agent,trading,"","id","clear_trading_agent/sql/clear_schema.sql:117;clear_trading_agent/training_db.py:209"
clear.ai_trade_windows,clear,ai_trade_windows,trading,sql,10,no,unused,clear_trading_agent,trading,"","id","clear_trading_agent/sql/clear_schema.sql:134;clear_trading_agent/training_db.py:233"
clear.candles,clear,candles,trading,sql,9,no,active,clear_trading_agent,trading,"","id","clear_trading_agent/sql/clear_schema.sql:101;clear_trading_agent/training_db.py:193"
clear.decisions,clear,decisions,trading,sql,11,no,active,clear_trading_agent,trading,"","id","clear_trading_agent/sql/clear_schema.sql:35;clear_trading_agent/training_db.py:124"
clear.learning_rewards,clear,learning_rewards,trading,sql,6,no,unused,clear_trading_agent,trading,"","id","clear_trading_agent/sql/clear_schema.sql:73;clear_trading_agent/training_db.py:161"
clear.market_states,clear,market_states,trading,sql,12,no,active,clear_trading_agent,trading,"","id","clear_trading_agent/sql/clear_schema.sql:54;clear_trading_agent/training_db.py:141"
clear.performance_stats,clear,performance_stats,trading,sql,10,no,active,clear_trading_agent,trading,"","id","clear_trading_agent/sql/clear_schema.sql:85;clear_trading_agent/training_db.py:175"
clear.trades,clear,trades,trading,sql,15,no,active,clear_trading_agent,trading,"","id","clear_trading_agent/sql/clear_schema.sql:11;clear_trading_agent/training_db.py:100"
public.open_positions,public,open_positions,trading,python-ddl,9,no,active,scripts,unassigned,"","id","scripts/misc/deploy_multiposition.py:76;scripts/misc/deploy_multiposition.py:195"
btc.llm_shadow_results,btc,llm_shadow_results,sentiment,python-ddl,11,no,unused,btc_trading_agent,trading,"","id","scripts/trading_analyst_shadow_eval.py:65"
btc.news_sentiment,btc,news_sentiment,sentiment,sql,11,no,unused,grafana,observability,"","id","grafana/exporters/sql/create_news_sentiment.sql:6;grafana/exporters/rss_sentiment_exporter.py:791"
btc.sentiment_calibration,btc,sentiment_calibration,sentiment,python-ddl,12,no,unused,grafana,observability,"","id","grafana/exporters/calibrate_rss_sentiment.py:214"
btc.training_samples,btc,training_samples,sentiment,python-ddl,18,no,active,grafana,observability,"","id","grafana/exporters/rss_llm_trainer.py:169"
public.training_samples,public,training_samples,sentiment,python-ddl,13,no,active,scripts,unassigned,"","id","scripts/training/training_data_collector.py:22"
clear.tax_accumulated_losses,clear,tax_accumulated_losses,general,sql,4,no,unused,clear_trading_agent,trading,"","id","clear_trading_agent/sql/clear_schema.sql:191;clear_trading_agent/training_db.py:299"
clear.tax_events,clear,tax_events,general,sql,15,no,unused,clear_trading_agent,trading,"","id","clear_trading_agent/sql/clear_schema.sql:150;clear_trading_agent/training_db.py:258"
clear.tax_monthly_summary,clear,tax_monthly_summary,general,sql,13,no,unused,clear_trading_agent,trading,"","id","clear_trading_agent/sql/clear_schema.sql:172;clear_trading_agent/training_db.py:279"
public.email_sends,public,email_sends,general,python-ddl,8,no,active,scripts,unassigned,"","id","scripts/misc/apply_real_job.py:255"
public.ollama_payload_log,public,ollama_payload_log,general,python-ddl,5,no,unused,tools,unassigned,"","id","tools/ollama_gpu_coordinator.py:147"
public.sent_applications,public,sent_applications,general,python-ddl,6,no,active,scripts,unassigned,"","id","scripts/misc/job_matching_tracker.py:30"
public.sent_drafts,public,sent_drafts,general,python-ddl,6,no,active,scripts,unassigned,"","id","scripts/misc/job_matching_tracker.py:22"
whatsapp.sessions,whatsapp,sessions,general,python-ddl,3,no,active,scripts,unassigned,"","chat_id","scripts/misc/whatsapp_bot.py:347;scripts/misc/migrate_whatsapp_to_postgres.py:43"
marketing.campaigns,marketing,campaigns,marketing,python-ddl,7,no,active,marketing,growth,"","id","marketing/db_migrate.py:113"
marketing.daily_metrics,marketing,daily_metrics,marketing,python-ddl,10,no,active,marketing,growth,"","id","marketing/db_migrate.py:73;marketing/lead_capture_api.py:140"
marketing.email_log,marketing,email_log,marketing,python-ddl,6,no,active,marketing,growth,"","id","marketing/db_migrate.py:87"
marketing.leads,marketing,leads,marketing,python-ddl,16,no,active,marketing,growth,"","id","marketing/db_migrate.py:39;marketing/lead_capture_api.py:112"
marketing.x_posts_log,marketing,x_posts_log,marketing,python-ddl,6,no,active,marketing,growth,"","id","marketing/db_migrate.py:100;marketing/x_post_scheduler.py:53"
public.agent_actions,public,agent_actions,governance,sql,17,no,active,platform,platform,"","id","tools/migrations/001_agent_governance.sql:15"
public.schema_migrations,public,schema_migrations,governance,sql,3,no,unused,platform,platform,"","version","tools/migrations/001_agent_governance.sql:7;tools/migrations/run_migration.py:39"
public.agent_ipc,public,agent_ipc,ipc,python-ddl,9,no,active,agent_bus,platform,"","id","tools/agent_ipc.py:32"
public.api_tokens,public,api_tokens,portal,python-ddl,7,yes,active,storage_portal,storage,"","id","storage_portal_api.py:331"
public.contracts,public,contracts,portal,python-ddl,31,yes,active,storage_portal,storage,"","id","storage_portal_api.py:278"
public.payments,public,payments,portal,python-ddl,8,no,active,storage_portal,storage,"","id","storage_portal_api.py:342"
public.portal_users,public,portal_users,portal,python-ddl,15,yes,active,storage_portal,storage,"","id","storage_portal_api.py:312"
public.content_queue,public,content_queue,content,python-ddl,14,no,unused,content_automation,content,"","id","content_automation/storage.py:27"
public.conversation_snapshots,public,conversation_snapshots,content,python-ddl,7,no,unused,tools,unassigned,"","id","tools/migrate_sqlite_to_postgres.py:68"
public.conversations,public,conversations,content,python-ddl,8,no,unused,tools,unassigned,"","id","tools/migrate_sqlite_to_postgres.py:42"
public.messages,public,messages,content,python-ddl,8,no,active,tools,unassigned,"","id","tools/migrate_sqlite_to_postgres.py:55"
