from_type,from_id,to_type,to_id,relation,weight,evidence
api,POST /evolve,domain,wiki,in_domain,0.5,"domain=wiki"
api,POST /raw,domain,wiki,in_domain,0.5,"domain=wiki"
api,POST /refactor,domain,wiki,in_domain,0.5,"domain=wiki"
variable,WIKI_API,domain,wiki,in_domain,0.4,"domain=wiki"
variable,WIKI_PUBLIC,domain,wiki,in_domain,0.4,"domain=wiki"
variable,WIKI_OLLAMA_API,domain,wiki,in_domain,0.4,"domain=wiki"
variable,WIKI_OLLAMA_MODEL,domain,wiki,in_domain,0.4,"domain=wiki"
variable,WIKI_LOCALE,domain,wiki,in_domain,0.4,"domain=wiki"
variable,WIKI_TIMEOUT,domain,wiki,in_domain,0.4,"domain=wiki"
variable,PAGES_FILE,domain,services,in_domain,0.4,"domain=services"
variable,OPENAI_COMPATIBLE_ENABLED,domain,services,in_domain,0.4,"domain=services"
variable,OPENAI_COMPATIBLE_BASE_URL,domain,services,in_domain,0.4,"domain=services"
variable,GEMINI_ENABLED,domain,services,in_domain,0.4,"domain=services"
variable,HOME_ASSISTANT_URL,domain,services,in_domain,0.4,"domain=services"
variable,MAILU_DOMAIN,domain,services,in_domain,0.4,"domain=services"
variable,ADMIN_EMAIL,domain,services,in_domain,0.4,"domain=services"
variable,POSTMASTER_EMAIL,domain,services,in_domain,0.4,"domain=services"
variable,MAILU_TLS_FLAVOR,domain,services,in_domain,0.4,"domain=services"
variable,MAILU_HTTP_PORT,domain,services,in_domain,0.4,"domain=services"
variable,MAILU_HTTPS_PORT,domain,services,in_domain,0.4,"domain=services"
variable,MAILU_SMTP_PORT,domain,services,in_domain,0.4,"domain=services"
variable,MAILU_SUBMISSION_PORT,domain,services,in_domain,0.4,"domain=services"
variable,MAILU_IMAP_PORT,domain,services,in_domain,0.4,"domain=services"
variable,MAILU_IMAPS_PORT,domain,services,in_domain,0.4,"domain=services"
variable,MAILU_POP3_PORT,domain,services,in_domain,0.4,"domain=services"
variable,MAILU_POP3S_PORT,domain,services,in_domain,0.4,"domain=services"
variable,DOVECOT_EXPORTER_PORT,domain,services,in_domain,0.4,"domain=services"
variable,JIRA_URL,domain,services,in_domain,0.4,"domain=services"
variable,JIRA_EMAIL,domain,services,in_domain,0.4,"domain=services"
variable,EMAIL_DOMAIN,domain,services,in_domain,0.4,"domain=services"
variable,EMAIL_ADMIN,domain,services,in_domain,0.4,"domain=services"
variable,ENVIRONMENT,domain,services,in_domain,0.4,"domain=services"
variable,DEBUG,domain,services,in_domain,0.4,"domain=services"
variable,LOG_LEVEL,domain,services,in_domain,0.4,"domain=services"
variable,DATA_DIR,domain,services,in_domain,0.4,"domain=services"
variable,CACHE_DIR,domain,services,in_domain,0.4,"domain=services"
variable,METRICS_PORT,domain,services,in_domain,0.4,"domain=services"
variable,LTO6_SG_DEV,domain,services,in_domain,0.4,"domain=services"
variable,LTO6_ST_DEV,domain,services,in_domain,0.4,"domain=services"
variable,LTO6_NST_DEV,domain,services,in_domain,0.4,"domain=services"
variable,AUTONOMOUS_MODE,domain,services,in_domain,0.4,"domain=services"
variable,TUNNEL_APP_NAME,domain,services,in_domain,0.4,"domain=services"
variable,ANONYMIZED_TELEMETRY,domain,services,in_domain,0.4,"domain=services"
variable,ENV,domain,services,in_domain,0.4,"domain=services"
variable,OPENID_PROVIDER_URL,domain,services,in_domain,0.4,"domain=services"
variable,GF_RBAC_PERMISSION_CACHE_TTL,domain,services,in_domain,0.4,"domain=services"
variable,HOSTNAME,domain,services,in_domain,0.4,"domain=services"
variable,DOMAIN,domain,services,in_domain,0.4,"domain=services"
variable,DOVECOT_PASS_FILTER,domain,services,in_domain,0.4,"domain=services"
variable,ROUNDCUBEMAIL_SMTP_SERVER,domain,services,in_domain,0.4,"domain=services"
variable,ROUNDCUBEMAIL_IMAP_HOST,domain,services,in_domain,0.4,"domain=services"
variable,ROUNDCUBEMAIL_DEFAULT_HOST,domain,services,in_domain,0.4,"domain=services"
variable,ROUNDCUBEMAIL_SMTP_PORT,domain,services,in_domain,0.4,"domain=services"
variable,ROUNDCUBEMAIL_IMAP_PORT,domain,services,in_domain,0.4,"domain=services"
variable,ROUNDCUBEMAIL_SKIN,domain,services,in_domain,0.4,"domain=services"
variable,MAIL_DOMAIN,domain,services,in_domain,0.4,"domain=services"
variable,TLS_FLAVOR,domain,services,in_domain,0.4,"domain=services"
variable,POSTMASTER,domain,services,in_domain,0.4,"domain=services"
variable,ADMIN,domain,services,in_domain,0.4,"domain=services"
api,GET /api/tags,domain,llm,in_domain,0.5,"domain=llm"
api,GET /api/v1/models,domain,llm,in_domain,0.5,"domain=llm"
api,GET /api/v1/models/{id},domain,llm,in_domain,0.5,"domain=llm"
api,GET /copilot/model-info,domain,llm,in_domain,0.5,"domain=llm"
api,GET /resources,domain,llm,in_domain,0.5,"domain=llm"
api,GET /v1/models,domain,llm,in_domain,0.5,"domain=llm"
api,POST /api/chat,domain,llm,in_domain,0.5,"domain=llm"
api,POST /api/generate,domain,llm,in_domain,0.5,"domain=llm"
