variable_name,type,category,sensitive,source,contexts
WIKI_API,url,services,no,.env,""
WIKI_PUBLIC,url,services,no,.env,""
WIKI_OLLAMA_API,url,services,no,.env,""
WIKI_OLLAMA_MODEL,string,services,no,.env,""
WIKI_LOCALE,string,services,no,.env,""
WIKI_TIMEOUT,integer,services,no,.env,""
PAGES_FILE,string,services,no,.env,""
OPENAI_COMPATIBLE_ENABLED,string,services,no,python-config,"config"
OPENAI_COMPATIBLE_BASE_URL,string,services,no,python-config,"config"
OPENAI_COMPATIBLE_MODEL,string,services,no,python-config,"config"
OLLAMA_HOST,string,services,no,python-config,"config"
OLLAMA_MODEL,string,services,no,python-config,"config"
OLLAMA_HOST_GPU1,string,services,no,python-config,"config"
OLLAMA_MODEL_GPU1,string,services,no,python-config,"config"
GPU_FALLBACK_TIMEOUT,integer,services,no,.env,""
NEXTCLOUD_URL,string,services,no,python-config,"config"
NEXTCLOUD_ADMIN_USER,string,services,no,python-config,"config"
NEXTCLOUD_CONTAINER,string,services,no,python-config,"config"
NEXTCLOUD_AGENT_ENABLED,string,services,no,python-config,"config"
NEXTCLOUD_OLLAMA_GPU,string,services,no,python-config,"config"
NEXTCLOUD_OLLAMA_TIMEOUT,string,services,no,python-config,"config"
NEXTCLOUD_DEFAULT_DRY_RUN,string,services,no,python-config,"config"
RPA4ALL_DOMAIN,string,services,no,.env,""
NEXTCLOUD_SUBDOMAIN,string,services,no,.env,""
NEXTCLOUD_IMAGE,string,services,no,.env,""
NEXTCLOUD_PORT,integer,services,no,.env,""
RPA4ALL_BG_API_BASE,url,services,no,.env,""
RPA4ALL_BG_MODEL,string,services,no,.env,""
GEMINI_ENABLED,string,services,no,python-config,"config"
HOME_ASSISTANT_URL,url,services,no,.env,""
MAILU_DOMAIN,string,services,no,docker-compose,"mailu-postfix;mailu-backend;mailu-roundcube;mailu-frontend;mailu-dovecot"
ADMIN_EMAIL,string,services,no,.env,""
POSTMASTER_EMAIL,string,services,no,.env,""
MAILU_TLS_FLAVOR,string,services,no,.env,""
MAILU_HTTP_PORT,integer,services,no,.env,""
MAILU_HTTPS_PORT,integer,services,no,.env,""
MAILU_SMTP_PORT,integer,services,no,.env,""
MAILU_SUBMISSION_PORT,integer,services,no,.env,""
MAILU_IMAP_PORT,integer,services,no,.env,""
MAILU_IMAPS_PORT,integer,services,no,.env,""
MAILU_POP3_PORT,integer,services,no,.env,""
MAILU_POP3S_PORT,integer,services,no,.env,""
POSTFIX_EXPORTER_PORT,integer,services,no,.env,""
DOVECOT_EXPORTER_PORT,integer,services,no,.env,""
MAX_EMAIL_SIZE,integer,services,no,.env,""
JIRA_URL,url,services,no,.env,""
JIRA_EMAIL,string,services,no,.env,""
EMAIL_DOMAIN,string,services,no,.env,""
EMAIL_ADMIN,string,services,no,.env,""
COMMUNICATION_BUS_URL,url,services,no,.env,""
ENVIRONMENT,string,services,no,.env,""
DEBUG,boolean,services,no,.env,""
LOG_LEVEL,string,services,no,.env,""
DATA_DIR,path,services,no,.env,""
CACHE_DIR,path,services,no,.env,""
NETBOX_BIND,string,services,no,.env,""
NETBOX_DIRECT_PORT,integer,services,no,.env,""
GLPI_BIND,string,services,no,.env,""
GLPI_DIRECT_PORT,integer,services,no,.env,""
NETBOX_SERVER_NAME,string,services,no,docker-compose,"proxy"
GLPI_SERVER_NAME,string,services,no,docker-compose,"proxy"
NETBOX_ALLOWED_HOSTS,string,services,no,.env,""
NETBOX_CSRF_TRUSTED_ORIGINS,url,services,no,.env,""
NETBOX_BASE_PATH,string,services,no,docker-compose,"netbox-worker;netbox"
NETBOX_LOGIN_REQUIRED,boolean,services,no,.env,""
NETBOX_LOGOUT_REDIRECT_URL,url,services,no,.env,""
CLIENT_MAX_BODY_SIZE,string,services,no,docker-compose,"proxy"
NETBOX_IMAGE_TAG,string,services,no,.env,""
GLPI_IMAGE_TAG,string,services,no,.env,""
NGINX_IMAGE_TAG,string,services,no,.env,""
NETBOX_SUPERUSER_NAME,string,services,no,.env,""
NETBOX_SUPERUSER_EMAIL,string,services,no,.env,""
NETBOX_EMAIL_FROM,string,services,no,.env,""
NETBOX_EMAIL_SERVER,string,services,no,.env,""
NETBOX_EMAIL_PORT,integer,services,no,.env,""
NETBOX_EMAIL_USE_SSL,boolean,services,no,.env,""
NETBOX_EMAIL_USE_TLS,boolean,services,no,.env,""
NETBOX_SKIP_SUPERUSER,boolean,services,no,.env,""
GLPI_SKIP_AUTOINSTALL,string,services,no,docker-compose,"glpi"
GLPI_SKIP_AUTOUPDATE,string,services,no,docker-compose,"glpi"
GLPI_CRONTAB_ENABLED,string,services,no,docker-compose,"glpi"
METRICS_PORT,integer,services,no,.env,""
LTFS_SERVICE,string,services,no,.env,""
LTFS_WORKDIR,path,services,no,.env,""
LTFS_LOGFILE,path,services,no,.env,""
LTFS_PIDFILE,path,services,no,.env,""
LTFS_DEVICE,path,services,no,.env,""
LTFS_TAPE_DEVICE,path,services,no,.env,""
LTO6_SG_DEV,path,services,no,.env,""
LTO6_ST_DEV,path,services,no,.env,""
LTO6_NST_DEV,path,services,no,.env,""
LTFS_ORCH_LOCK,path,services,no,.env,""
LTFS_SELF_HEAL_STATE_FILE,path,services,no,.env,""
LTFS_CURSOR_DIR,path,services,no,.env,""
AUTONOMOUS_MODE,boolean,services,no,.env,""
TUNNEL_APP_NAME,string,services,no,.env,""
